# distance_m,vel_mps
4546.95717,61.68927
4551.95383,61.69976
4556.95049,61.71011
4561.94714,61.72034
4566.94380,61.73044
4571.94046,61.74041
4576.93711,61.75025
4581.93377,61.75997
4586.93042,61.76956
4591.92708,60.17639
4596.92374,58.15471
4601.92039,56.12307
4606.91705,54.07863
4611.91371,52.01811
4616.91036,49.93257
4621.90702,47.82260
4626.90367,45.68366
4631.90033,43.50980
4636.89699,41.29329
4641.89364,39.02388
4646.89030,36.68916
4651.88696,34.27339
4656.88361,31.75598
4661.88027,29.10936
4666.87692,26.39834
4671.87358,23.74850
4676.87024,21.34111
4681.86689,19.20144
4686.86355,17.25646
4691.86021,15.19994
4696.85686,12.90000
4701.85352,12.30000
4706.85017,12.70000
4711.84683,14.62747
4716.84349,16.64070
4721.84014,18.54211
4726.83680,20.33178
4731.83345,22.11069
4736.83011,23.74851
4741.82677,25.26632
4746.82342,26.68488
4751.82008,27.98102
4756.81674,29.14756
4761.81339,30.21070
4766.81005,31.18897
4771.80670,32.09604
4776.80336,32.94231
4781.80002,33.73594
4786.79667,34.48344
4791.79333,35.19008
4796.78999,35.86026
4801.78664,36.49762
4806.78330,37.10528
4811.77995,37.68587
4816.77661,38.24169
4821.77327,38.77473
4826.76992,39.28673
4831.76658,39.72655
4836.76324,40.15785
4841.75989,40.58093
4846.75655,40.99607
4851.75320,41.40356
4856.74986,41.80364
4861.74652,42.19656
4866.74317,42.58255
4871.73983,42.96182
4876.73649,43.33189
4881.73314,43.69110
4886.72980,44.04000
4891.72645,44.37910
4896.72311,44.70884
4901.71977,45.02967
4906.71642,45.34198
4911.71308,45.64615
4916.70974,45.94252
4921.70639,46.23141
4926.70305,46.51314
4931.69970,46.78798
4936.69636,47.05620
4941.69302,47.31805
4946.68967,47.57378
4951.68633,47.82359
4956.68299,48.06772
4961.67964,48.30635
4966.67630,48.53967
4971.67295,48.76787
4976.66961,48.99111
4981.66627,49.20956
4986.66292,49.42337
4991.65958,49.63269
4996.65624,49.83766
5001.65289,49.80551
5006.64955,47.81248
5011.64620,45.79691
5016.64286,43.75192
5021.63952,41.68713
5026.63617,39.66023
5031.63283,37.67831
5036.62949,35.73545
5041.62614,33.84528
5046.62280,32.09603
5051.61945,30.53416
5056.61611,29.13486
5061.61277,27.87027
5066.60942,26.70000
5071.60608,27.08243
5076.60274,25.90000
5081.59939,26.67715
